artist_album,year,cluster
Duke Ellington In A Mellotone,1940,13
Duke Ellington Sophisticated Lady,1940,13
Duke Ellington Black Brown and Beige,1943,0
Coleman Hawkins Rainbow Mist,1944,0
Mary Lou Williams Zodiac Suite,1945,0
Lennie Tristano Crosscurrents,1949,2
Duke Ellington Liberian Suite,1949,13
Lee Konitz Subconscious-Lee,1949,2
Bob Wilber Jazz Band,1949,0
Miles Davis Birth of the Cool,1950,23
Stan Kenton Presents,1950,0
Ralph Sutton Ralph Sutton,1950,0
Lennie Tristano Wow,1950,2
Stan Getz Quartets,1950,23
Stan Kenton City of Glass,1951,0
Oscar Peterson 1951,1951,2
Shorty Rogers Modern Sounds,1951,23
Gerry Mulligan Mulligan Quartet,1952,2
Duke Ellington Piano Reflections,1953,0
Ben Webster King Of The Tenors,1953,0
Modern Jazz Quartet Django,1953,15
Shorty Rogers Cool And Crazy,1953,13
Jay Jay Johnson Four Trombones,1953,0
Sarah Vaughan Sarah Vaughan,1954,0
Chet Baker Sextet,1954,23
Herbie Nichols The Third World,1955,4
Ahmad Jamal Poinciana,1955,0
Erroll Garner Concert by the Sea,1955,2
George Shearing Spell,1955,0
Horace Silver Horace Silver and the Jazz Messengers,1955,4
Lennie Tristano Lennie Tristano,1955,23
Oscar Peterson Al Zardis,1955,0
Frank Morgan Frank Morgan,1955,0
Herbie Nichols Herbie Nichols Trio,1955,0
Frank Sinatra Songs for Young Lovers,1955,13
Charles Mingus Pithecanthropus Erectus ,1956,15
Modern Jazz Quartet Fontessa,1956,2
Thelonious Monk Brilliant Corners,1956,2
Sonny Rollins Saxophone Colossus,1956,2
George Russell Jazz Workshop,1956,11
Lennie Tristano Manhattan Studio/ New York Improvisations,1956,1
Max Roach Plus Four,1956,0
John Lewis Grand Encounter,1956,2
Horace Silver Six Pieces of Silver ,1956,0
Kenny Burrell All Night Long,1956,0
Lucky Thompson Tricotism,1956,0
Phineas Newborn Piano Artistry,1956,0
Miles Davis Round About Midnight,1956,4
Zoot Sims Tonite's Music Today,1956,2
Mel Torme` Touch,1956,0
Quincy Jones This Is How I Feel About Jazz,1956,13
Stan Kenton Cuban Fire,1956,0
Jimmy Giuffre The Jimmy Giuffre Clarinet,1956,0
Jimmy Smith A New Star A New Sound,1956,2
Kenny Burrell All Day Long,1956,4
Charles Mingus Tijuana Moods,1957,4
Art Blakey Orgy In Rhythm,1957,2
Yusef Lateef Jazz Mood,1957,4
John Coltrane Blue Train,1957,4
John Lewis Piano,1957,23
Milt Jackson Soul Brothers,1957,9
Miles Davis Miles Ahead,1957,4
Ben Webster Soulville,1957,0
Sonny Rollins Way Out West,1957,4
Ben Webster Tenor Giants,1957,0
Art Pepper Meets the Rhythm Section,1957,2
Art Taylor Wailers,1957,4
Max Roach Jazz in 3/4 time,1957,0
Jay Jay Johnson Blue Trombone,1957,2
Hank Mobley Quintet,1957,4
Herbie Mann Flute Souffle,1957,0
Jimmy Giuffre Western Suite,1958,15
Sun Ra Jazz in Silhouette,1958,4
Sonny Rollins Freedom Suite,1958,0
Art Blakey Moanin',1958,4
Cecil Taylor Looking Ahead,1958,1
Jimmy Smith The Sermon,1958,9
Blue Mitchell Big Six,1958,4
Max Roach Deeds Not Words,1958,0
Clark Terry In Orbit,1958,2
Cannonball Adderley Somethin' Else,1958,2
Chico Hamilton Gongs East,1958,15
Hank Mobley Peckin' Time,1958,4
Mongo Santamaria Yambu,1958,0
Cal Tjader Latin Concert,1958,0
Toots Thielemans Man Bites Harmonica,1958,0
Thelonious Monk Misterioso,1958,2
Jimmy Giuffre The Four Brothers Sound .,1958,0
Ornette Coleman The Shape of Jazz To Come,1959,1
George Russell New York New York,1959,10
Miles Davis Kind Of Blue,1959,0
Charles Mingus Mingus Ah Um,1959,2
John Coltrane Giant Steps,1959,4
Art Pepper Plus Eleven,1959,0
Billy Taylor And Four Flutes,1959,2
Charles Mingus Blues and Roots,1959,15
Gerry Mulligan What Is There To Say,1959,2
Horace Silver Blowin; the Blues Away,1959,4
Horace Silver Finger Poppin',1959,2
Illinois Jacquet Flies Again,1959,0
Ira Sullivan Blue Stroll,1959,0
Jimmy Heath The Thumper,1959,2
Milt Jackson Bags And Trane,1959,4
Dave Brubeck Time Out,1959,23
Mongo Santamaria Mongo,1959,0
Jimmy Giuffre Seven Pieces,1959,0
Ornette Coleman Free Jazz,1960,1
Max Roach Freedom Now Suite,1960,4
Charles Mingus Presents,1960,15
Gunther Schuller [John Lewis] Jazz Abstractions,1960,0
George Russell Jazz in the Space Age,1960,21
Eric Dolphy Far Cry,1960,4
Joe Harriott Free Form,1960,1
Tina Brooks True Blue,1960,4
Randy Weston Uhuru Africa,1960,21
Gil Evans Out of the Cool,1960,4
Lennie Tristano The New Tristano,1960,1
Clark Terry Color Changes,1960,0
Jimmy Giuffre Pieces for Clarinet and Strings,1960,0
Hank Mobley Soul Station,1960,4
Horace Silver Horace-Scope,1960,4
Art Blakey The Big Beat,1960,2
Modern Jazz Quartet The Comedy,1960,9
Betty Carter The Modern Sound,1960,13
Oliver Nelson Takin' Care of Business,1960,0
Wes Montgomery The Incredible Jazz Guitar,1960,4
Sam Jones Soul Society,1960,4
George Russell Stratusphunk,1960,11
David Newman & James Clay The Sound Of the Wide Open Spaces,1960,0
Duke Jordan Flight To Jordan,1960,4
Herbie Mann Flute Brass Vibes And Percussion,1960,0
Jazztet Meet the Jazztet,1960,4
Phil Woods Rights Of Swing,1960,0
Art Pepper Gettin' Together,1960,2
Ornette Coleman Ornette,1961,0
John Coltrane Impressions,1961,11
Charles Mingus Oh Yeah,1961,15
Yusef Lateef Eastern Sounds,1961,11
Bill Evans Explorations,1961,11
George Russell Ezz-thetic,1961,2
Jimmy Giuffre Thesis,1961,0
Oliver Nelson Blues and the Abstract Truth,1961,12
John Coltrane My Favorite Things,1961,4
Cecil Taylor New York City R&B,1961,1
Hank Mobley Workout,1961,4
Jackie McLean Bluesnik,1961,4
Mal Waldron The Quest,1961,1
Max Roach Percussion Bitter Sweet,1961,4
Ran Blake & Jeanne Lee The Newest Sound Around,1961,6
Stan Getz Focus,1961,12
Benny Carter Further Definitions,1961,13
Art Blakey Mosaic,1961,2
Jimmy Giuffre Fusion,1961,1
Oliver Nelson Afro-American Sketches,1961,13
Wes Montgomery So Much Guitar,1961,9
Abbey Lincoln Straight Ahead,1961,15
Charles Mingus Epitaph,1962,13
Cecil Taylor Nefertiti,1962,16
Jimmy Giuffre Free Fall,1962,0
Joe Harriott Abstract,1962,1
Jackie McLean Let Freedom Ring,1962,4
Sonny Rollins The Bridge,1962,4
Dexter Gordon Go,1962,4
Freddie Hubbard Artistry,1962,15
Jimmy Woods Awakening,1962,15
George Russell Stratus Seekers,1962,11
Oscar Peterson Night Train,1962,0
Prince Lasha The Cry,1962,21
Sheila Jordan Portrait,1962,6
Charles Mingus The Black Saint And The Sinner Lady,1963,15
Sun Ra Cosmic Tones For Mental Therapy,1963,0
Joe Harriott Movement,1963,0
Bill Evans Conversations with Myself,1963,11
Thelonious Monk Criss Cross,1963,0
Jackie McLean Destination Out,1963,4
Stanley Turrentine Soul Shoutin',1963,9
Eric Dolphy Iron Man,1963,1
Jackie McLean One Step Beyond,1963,4
Joe Henderson Page One,1963,4
Kai Winding Solo,1963,0
Art Blakey Ugetsu,1963,4
Lee Morgan Sidewinder,1963,23
Donald Byrd A New Perspective,1963,9
Chico Hamilton Man from Two Worlds,1963,2
Grant Green Idle Moments,1963,2
Kenny Burrell Midnight Blue,1963,0
John Coltrane A Love Supreme,1964,11
Albert Ayler Spiritual Unity,1964,1
Eric Dolphy Out to Lunch,1964,11
Albert Ayler New York Eye And Ear Control,1964,1
Albert Ayler Witches and Devils,1964,10
Andrew Hill Point of Departure,1964,6
Sam Rivers Fuchsia Swing Song,1964,16
Wayne Shorter Speak No Evil,1964,15
Herbie Hancock Empyrean Isles,1964,21
New York Art Quartet New York Art Quartet,1964,1
Albert Ayler Vibrations,1964,1
Sun Ra Other Planes of There,1964,1
Horace Silver Song For My Father,1964,4
Andre Previn My Fair Lady,1964,23
Denny Zeitlin Carnival,1964,12
Kenny Burrell Guitar Forms,1964,0
Ben Webster Meet You At The Fair,1964,20
Oscar Peterson Canadian Suite,1964,0
Cal Tjader Soul Sauce,1964,0
Denny Zeitlin Cathexis,1964,11
Randy Weston African Cookbook,1964,2
Duke Pearson Wahoo,1964,4
Freddie Hubbard Breaking Point,1964,11
Joe Henderson In 'n Out,1964,11
Tony Scott Music For Zen Meditation,1964,0
Joe Henderson Inner Urge,1964,11
Larry Young Into Somethin',1964,16
Lee Morgan Search For The new Land,1964,4
John Coltrane Crescent,1964,11
Oscar Peterson Trio Plus One,1964,0
Shirley Scott Blue Flames,1964,0
Wayne Shorter Juju,1964,4
Tony Williams Life Time,1964,0
Guenter Hampel Heartplants,1964,0
Charles Lloyd Discovery,1964,6
John Coltrane Ascension,1965,7
Sun Ra The Magic City,1965,1
Marion Brown Quartet,1965,1
Don Cherry Complete Communion,1965,1
Sam Rivers Contours,1965,16
Herbie Hancock Maiden Voyage,1965,4
Sun Ra Heliocentric Worlds Vol 2,1965,1
John Coltrane Meditations,1965,7
Milford Graves Percussion Ensemble,1965,7
Patty Waters Sings,1965,1
Wayne Shorter The All Seeing Eye,1965,15
Frank Wright Trio,1965,1
Andrew Hill Compulsion,1965,10
Ornette Coleman Chappaqua Suite,1965,7
Wayne Shorter Soothsayer,1965,11
Bobby Hutcherson Components,1965,4
New York Art Quartet Mohawk,1965,1
Horace Silver The Cape Verdean Blues,1965,4
Bobby Hutcherson Dialogue,1965,15
Ben Webster Stormy Weather,1965,0
Lee Morgan Cornbread,1965,4
Prince Lasha Inside Story,1965,11
Lee Morgan The Gigolo,1965,4
Archie Shepp Fire Music,1965,1
Roswell Rudd Roswell Rudd,1965,1
Eddie Palmieri Mozambique,1965,0
Gabor Szabo Gypsy,1965,23
Cecil Taylor Unit Structures,1966,1
Roscoe Mitchell Sound,1966,1
Don Cherry Symphony For Improvisers,1966,1
Cecil Taylor Conquistador,1966,1
Alex Schlippenbach Globe Unity,1966,1
Archie Shepp Mama Too Tight,1966,1
Steve Lacy The Forest And The Zoo,1966,1
Steve Lacy Sortie,1966,1
Duke Ellington The Far East Suite,1966,13
Chick Corea Tones For Joan's Bones,1966,4
Sun Ra Strange Strings,1966,5
Patty Waters College Tour,1966,1
Joseph Jarman Song For,1966,7
Guenter Hampel Assemblage,1966,0
Joe Harriott Indo-Jazz Fusions,1966,0
Bobby Hutcherson Happenings,1966,15
Wayne Shorter Adams' Apple,1966,0
Bobby Hutcherson Stick-Up,1966,11
Charles Lloyd Dream Weaver,1966,15
Charles Tyler First Album,1966,0
Denny Zeitlin Zeitgeist,1966,6
Jaki Byard Sunshine Of My Soul,1966,15
Horace Silver The Jody Grind,1966,4
Larry Young Of Love And Peace,1966,0
Lee Morgan Delightfulee,1966,4
Sonny Simmons Music From The Spheres,1966,1
